citric acid,residual sugar,pH,sulphates,alcohol,quality
0.59,2.8,3.12,0.54,12,6
0.47,2.4,3.08,0.46,9.5,5
0.17,2.9,3.14,0.61,9.4,5
0.39,2.2,2.89,0.5,9.6,5
0.59,1.4,2.92,0.68,10.5,7
0.07,1.4,3.32,0.81,9.6,6
0.02,4.4,3.41,0.57,11,4
0.07,1.4,3.32,0.81,9.6,6
0.31,1.6,3.31,0.64,9,5
0.06,1.6,3.36,0.7,9.6,6
0.46,1.8,3.04,0.79,10.2,6
0.52,2,3.03,0.66,10.2,5
0.14,2,3.14,0.56,9.7,5
0.36,1.8,3.18,0.6,9.5,6
0.45,2,2.94,0.66,9.2,6
0.43,2.3,3.15,0.57,11,5
0.45,2,2.94,0.66,9.2,6
0.24,2.5,3.26,0.58,10,5
0.21,1.7,3.2,0.52,9.5,5
0.34,2,3.15,0.53,9.5,5
0.21,1.7,3.2,0.52,9.5,5
0.41,2.2,3.08,0.67,9.3,6
0.39,2.2,3.26,0.65,10.2,5
0.41,2.2,3.08,0.67,9.3,6
0.11,2.3,3.4,0.48,9.9,5
0.1,2.6,3.48,0.53,10,5
0.45,3.3,3.13,0.54,9.6,5
0.58,1.9,3.06,0.49,9,5
0.23,2.2,3.21,0.49,10.2,6
0.31,2.25,3.33,0.54,9.8,5
0.23,2.6,3.37,0.56,11.3,5
0.32,2.3,3.25,0.48,9.4,5
0.23,2.6,3.37,0.56,11.3,5
0.18,1.8,3.44,0.6,9.1,5
0.23,3.1,3.28,0.59,9.7,5
0.04,1.6,3.4,0.47,9.4,5
0.48,1.8,3.3,1.05,9.4,5
0,4.25,3.63,0.54,10.7,3
0.24,2.6,3.48,0.54,9.8,5
0.51,2,3.03,1.17,9,5
0.32,2.8,3.32,0.62,9.4,5
0.31,2.7,3.31,0.61,9.4,5
0.02,1.3,3.9,0.62,12.8,6
0.02,2.1,3.47,0.67,9.5,6
0.02,2.1,3.47,0.67,9.5,6
0.28,3.2,3.31,0.53,9.7,5
0.55,2.1,3.11,0.62,10.8,6
0.43,2.9,3.08,0.57,10.1,6
0.02,2.1,3.47,0.67,9.5,6
0.02,2.1,3.47,0.67,9.4,6
0.48,2.6,3.32,0.7,9.6,4
0.04,1.6,3.29,0.54,9.7,4
0.15,6,3.37,0.49,9.9,5
0.08,2,3.4,0.47,10,5
0.19,3,3.37,0.51,10.5,5
0.12,2.5,3.34,0.61,11.6,6
0.47,1.6,3.27,0.66,10,6
0.43,2.8,3.06,0.57,10.1,5
0.34,3,3.38,0.61,9.5,5
0,3.2,3.36,0.45,9.4,5
0.36,2.3,3.34,0.46,9.4,5
0.28,2.6,3.28,0.51,9.8,5
0.18,2.7,3.29,0.48,9.2,6
0.36,2.3,3.34,0.46,9.4,5
0.11,2.6,3.21,0.57,10,5
0.04,2,3.22,0.44,9.6,5
0,3.9,3.46,0.54,9.5,5
0.04,2,3.22,0.44,9.6,5
0.24,2.85,3.1,0.53,9.2,5
0.08,2.7,3.21,0.59,10,5
0.3,2.2,2.94,1.62,9.5,5
0.1,3.1,3.54,0.6,11.2,4
0.17,3,3.29,0.55,10.4,5
0.09,2.8,3.43,0.72,11.1,6
0.02,1.8,3.46,0.68,9.5,5
0.02,1.8,3.46,0.68,9.5,5
0.03,3.2,3.61,0.49,12.7,6
0.66,2.3,3.17,0.67,9.6,5
0.13,3.45,3.44,0.52,11.5,5
0.03,2.1,3.39,0.47,9.6,5
0.34,2.7,3.55,0.6,9.5,5
0.2,2,3.48,0.62,9.3,5
0.1,2.1,3.26,0.5,9.5,5
0.1,2.1,3.26,0.5,9.5,5
0,2.5,3.5,0.65,9.3,6
0.23,2.8,3.1,0.56,9.2,5
0,2.4,3.35,0.6,9.3,5
0.29,4.2,3.45,0.68,11.5,6
0.24,2.6,3.21,0.57,9.5,5
0,1.9,3.46,0.65,9.2,5
0.58,2.8,3.13,0.53,10,5
0.54,2.7,3.13,0.51,9.5,5
0.18,2.1,3.52,0.73,9.5,6
0.38,2.5,3.3,0.47,9,6
0.4,2.6,3.3,0.48,9.4,5
0.18,2.1,3.52,0.72,9.6,6
0.18,2.1,3.52,0.73,9.5,6
0.1,2.9,3.29,0.55,9.5,5
0.1,2.9,3.29,0.55,9.5,5
0.13,2.5,3.39,0.61,9.4,5
0.1,2.9,3.29,0.55,9.5,5
0.68,1.7,3.09,1.06,9.1,6
0.07,1.9,3.51,0.43,10.7,6
0.01,2,3.6,0.46,11.2,6
0,2.2,3.25,0.5,9.8,5
0,2.2,3.25,0.5,9.8,5
0.21,2.5,3.19,0.52,9.2,5
0.25,2.8,3.23,0.57,9.7,5
0.26,2,3.25,0.42,9.6,5
0,1.7,3.31,0.53,10,6
0.26,2,3.25,0.42,9.6,5
0.11,2.8,3.31,0.55,9.5,6
0.1,3,3.31,0.54,9.5,6
0.18,2.9,3.14,0.54,9.4,5
0.32,2.7,3.45,0.62,9.5,5
0.02,2.3,3.55,0.53,9.7,6
0.01,1.9,3.39,0.54,9.6,5
0.02,2.3,3.55,0.53,9.7,6
0.26,2.4,3.28,0.55,9.4,5
0.27,2.3,3.27,0.55,9.4,5
0.29,1.8,3.3,0.92,9.5,6
0.3,1.8,3.31,0.91,9.5,6
0,3,3.43,0.46,10,5
0.18,2.4,3.4,0.6,10.3,6
0.17,2.4,3.4,0.59,10.3,6
0.3,3.4,3.36,0.61,10.5,5
0.03,2.6,3.5,0.6,9.8,5
0,2,3.31,0.6,9.4,6
0.14,2.4,3.66,0.65,9.8,5
0.05,2.4,3.36,0.53,10,5
0.14,2.4,3.66,0.65,9.8,5
0.01,2.5,3.55,0.59,9.8,5
0.41,2.3,3.21,0.5,9.5,5
0.41,2.3,3.21,0.5,9.5,5
0.24,2.2,3.18,0.56,10.1,6
0.24,2.2,3.18,0.56,10.1,6
0.17,2.9,3.09,0.52,9.3,5
0.43,2.6,3.33,0.68,9.7,6
0.17,2.9,3.23,0.54,9.6,5
0.02,2.5,3.48,0.6,9.7,6
0,2.6,3.38,0.56,10.8,5
0.54,2.3,3.17,0.53,12.5,6
0.3,2.6,2.99,1.18,10.2,5
0.31,2.5,3.1,0.74,9.6,5
0.44,1.6,3.24,0.81,10.8,7
0.34,3.6,3.29,0.52,10.7,6
0.34,3.6,3.29,0.52,10.7,6
0.08,4,3.25,0.51,9.4,5
0.09,3.3,3.23,0.44,10,5
0,1.7,3.56,0.94,12.9,7
0.08,2.5,3.24,0.66,9.6,6
0.22,2.7,3.26,0.57,9.9,6
0.4,2.4,3.33,0.7,12.8,7
0.39,2,3.27,0.71,12.5,7
0.4,2.4,3.33,0.7,12.8,7
0.12,1.9,3.26,0.86,9.2,5
0.31,2.8,3.22,0.55,10.3,6
0.1,2.6,3.3,0.47,10.5,5
0.55,2.8,3.09,0.68,10.9,6
0.33,2.5,3.24,0.71,10.8,5
0.24,2.1,3.44,0.58,11.4,4
0.54,2.8,3.21,0.76,11.3,6
0.33,2.5,3.24,0.71,10.8,5
0.19,3.2,3.23,0.58,10.5,6
0.42,1.6,3.28,0.73,11.9,6
0,2.35,3.29,0.45,9.4,5
0.15,3.2,3.28,0.54,9.6,5
0,1.9,3.34,0.6,9.7,5
0,2.1,3.71,0.74,14,7
0.13,2,3.61,0.64,9.8,5
0.13,2,3.61,0.64,9.8,5
0.28,2.8,3.24,0.53,10.3,5
0.14,2.8,3.36,0.49,10.7,5
0.34,2.3,3.4,0.64,11,7
0.14,2.8,3.36,0.49,10.7,5
0.09,2.3,3.46,0.74,12.7,8
0.08,2.1,3.56,0.77,11.1,6
0.07,2.5,3.38,0.55,10.9,4
0.08,2.1,3.56,0.77,11.1,6
0.42,1.5,3.38,0.86,9.9,3
0.44,1.6,3.38,0.86,9.9,4
0.26,1.6,3.32,0.47,9.4,5
0.1,1.5,3.39,0.51,9.3,5
0.28,2.4,3.26,0.39,11.7,7
0.28,2.4,3.26,0.39,11.7,7
0.35,1.6,3.24,0.83,11.2,7
0.04,2.2,3.46,0.47,10,5
0.47,2.65,3.24,0.77,12.1,7
0,3,3.45,0.63,10.3,5
0.45,2.6,3.23,0.72,10.9,6
0.35,2,3.28,0.62,9.4,5
0.46,1.7,3.18,0.83,10.6,6
0.21,1.8,3.59,0.66,9.8,5
0.21,1.8,3.59,0.66,9.8,5
0.16,1.8,3.5,0.7,9.9,6
0.21,1.8,3.59,0.66,9.8,5
0.21,1.6,3.58,0.66,9.8,5
0.44,1.9,3.28,0.55,9.5,5
0.44,1.9,3.28,0.55,9.5,5
0.32,2.5,3.22,1.07,9.7,5
0.39,1.5,3.47,0.73,10.9,6
0.39,1.5,3.47,0.73,10.9,6
0.02,2.5,3.51,0.71,11.7,7
0.39,1.5,3.47,0.73,10.9,6
0.34,2.5,3.4,0.78,11.3,7
0.47,1.7,3.15,0.67,10.6,7
0.22,1.8,3.4,0.82,11.2,6
0.06,2.7,3.51,0.54,9.5,5
0.66,2,3.66,0.6,11.5,6
0.32,2.7,3.24,0.44,10.4,5
0.06,2.5,3.51,0.53,9.7,5
0.06,2.7,3.51,0.54,9.5,5
0.07,2.6,3.51,0.54,9.7,5
0.22,2.3,3.41,0.83,11.3,6
0.23,2,3.4,0.84,11.2,6
0.22,1.8,3.4,0.82,11.2,6
0.03,2,3.44,0.64,10.9,6
0.01,2.1,3.41,0.57,11.8,6
0.03,1.5,3.53,0.57,10.6,5
0.24,2,3.43,0.54,10,4
0.37,1.6,3.23,0.58,11.1,7
0.46,2.1,3.12,0.65,11.8,7
0.4,2.8,3.31,0.79,11.8,7
0,2.2,3.4,0.58,10.9,4
0.01,2.1,3.41,0.57,11.8,6
0.19,4,3.22,0.5,10,6
0.04,2.5,3.53,0.55,9.5,5
0.18,1.6,3.15,0.49,9.9,5
0,2.1,3.48,0.65,11.4,6
0.29,3.1,3.22,0.78,12,6
0.04,2.5,3.53,0.55,9.5,5
0.19,4,3.22,0.5,10,6
0.14,2.5,3.34,0.64,10.5,5
0.12,2.4,3.33,0.65,10.4,6
0.38,2.6,3.15,0.79,12.1,7
0,2.5,3.43,0.56,11.2,6
0.34,6.6,3.22,0.68,9.3,5
0.24,2,3.44,0.58,10.1,5
0.03,2.3,3.53,0.57,9.7,5
0.23,1.9,3.22,0.65,9.3,6
0.03,2.3,3.53,0.57,9.7,5
0.03,2.2,3.53,0.58,9.8,6
0.01,2.3,3.42,0.58,10.7,6
0.39,2.4,3.31,0.77,12.5,7
0.01,2.3,3.42,0.58,10.7,6
0.39,2.4,3.31,0.77,12.5,7
0.02,3.4,3.48,0.49,11,3
0.36,2.6,3.4,0.69,11.8,5
0.1,2.4,3.58,0.69,10.8,7
0.1,2.4,3.58,0.69,10.8,7
0.06,6,3.41,0.59,10.8,7
0.06,6,3.41,0.59,10.8,7
0.2,3,3.23,0.59,9.5,5
0.27,2.6,3.39,0.71,11,5
0,2.2,3.59,0.54,11.5,6
0.13,2.4,3.43,0.59,10.8,6
0.39,1.2,3.29,0.52,11.5,6
0.48,3.8,3.23,0.57,13.2,6
0.46,9,3.18,0.6,10.9,6
0.44,2.9,3.33,0.62,12.2,6
0.46,4.6,3.27,0.64,12.2,7
0.39,1.2,3.29,0.52,11.5,6
0.4,2.2,3.27,0.67,11.9,6
0.19,1.5,3.62,0.61,11,5
0.31,8.8,3.38,0.64,10.1,6
0.32,2.2,3.3,0.72,11,6
0.12,1.8,3.38,0.89,11.8,6
0.37,2.3,3.24,0.56,10.5,5
0.32,2.2,3.3,0.72,11,6
0.12,1.8,3.38,0.89,11.8,6
0.31,8.8,3.38,0.64,10.1,6
0.27,2.3,3.18,0.8,11.2,5
0.36,1.9,3.47,0.87,11,7
0.33,2.3,3.47,0.9,10.2,6
0.19,2.2,3.2,0.59,9.2,4
0.27,2.3,3.18,0.8,11.2,5
0.38,3.3,3.3,0.73,12,7
0.01,1.9,3.69,0.73,10.5,5
0.01,2,3.48,0.65,9.8,5
0.29,1.9,3.45,0.59,9.5,6
0.01,2,3.48,0.65,9.8,5
0.01,1.9,3.69,0.73,10.5,5
0.38,2.3,3.39,0.72,11.8,6
0.38,2.3,3.39,0.72,11.8,6
0.5,1.4,3.07,0.6,10.4,4
0.38,2.8,3.34,0.72,12.9,7
0.17,1.6,3.61,0.54,11.4,5
0.52,2.2,3.36,0.76,12.4,7
0.49,5,3.19,0.52,12.5,7
0.4,2.6,3.22,0.64,10,7
0.34,2.3,3.24,0.6,9.7,7
0.49,3.8,3.27,0.64,12.1,7
0.42,2,3.14,0.79,11.1,7
0.58,4.1,3.29,0.99,12,7
0.48,2.1,3.26,0.62,12.4,7
0.45,1.8,3.41,0.76,11.9,7
0.45,1.8,3.41,0.76,11.9,7
0.45,1.8,3.41,0.76,11.9,7
0.48,2.1,3.26,0.62,12.4,7
0.4,2.2,3.31,0.68,11.2,7
0.48,2.1,3.2,0.69,12.1,7
0.4,2.7,3.44,0.54,12.2,6
0.52,1.9,3.36,0.67,10.4,5
0.52,2.1,3.31,0.62,11.3,6
0.52,2,3.29,0.58,11.1,6
0.12,2.3,3.47,0.71,11.3,7
0.05,2,3.36,0.61,10,5
0.27,1.9,3.16,0.85,11.1,6
0.14,1.6,3.27,0.62,9.3,5
0.02,2.1,3.38,0.69,9.5,5
0.39,2,3.15,0.69,11.2,6
0.27,1.9,3.16,0.85,11.1,6
0.4,2.4,3.34,0.86,11,6
0.41,2.4,3.13,0.58,11.9,7
0.2,2.1,3.13,0.48,9.2,5
0.43,2.4,3.2,0.6,12.2,6
0.09,2.9,3.46,0.61,10.2,5
0.48,1.9,3.33,0.87,10.9,6
0.48,1.9,3.33,0.87,10.9,6
0.5,2.4,3.22,0.65,11.6,7
0.44,1.7,3.52,0.63,10.7,5
0.41,5.9,3.3,0.62,12.1,7
0.3,2.1,3.44,0.52,9.4,5
0.3,2.1,3.44,0.52,9.4,5
0.29,2.6,3.15,0.5,9.1,5
0.32,3.6,3.28,0.49,11.3,7
0.49,1.4,3.13,0.63,10.4,5
0.3,1.9,3.32,0.71,10.5,6
0.26,1.9,3.25,0.62,10,5
0.32,2.1,3.34,0.82,12.9,6
0.3,1.9,3.32,0.71,10.5,6
0.49,1.4,3.13,0.63,10.4,5
0,2,3.45,0.58,11.3,6
0.39,1.4,3.19,0.55,11.4,7
0.3,1.6,3.44,0.5,9.4,5
0.12,1.7,3.16,0.49,9.4,5
0.4,1.5,3.14,0.51,10.9,6
0.12,1.7,3.16,0.49,9.4,5
0.28,2,3.45,0.48,9.4,5
0.1,2,3.36,0.48,9.4,6
0.28,2,3.45,0.48,9.4,5
0.45,2.5,3.15,0.43,9.4,5
0.06,2,3.39,0.62,10.1,6
0,2.2,3.71,0.63,12.8,7
0,2.2,3.71,0.63,12.8,7
0.34,1.4,3.12,0.48,9.1,6
0,1.65,3.47,0.53,12.9,6
0.3,2.2,3.44,0.72,11.5,7
0.38,1.5,3.26,0.82,10.6,7
0.33,2.05,3.26,0.84,11.7,7
0.32,1.8,3.36,0.55,12.8,7
0.29,1.6,3.25,0.54,10.3,5
0.32,1.8,3.36,0.55,12.8,7
0.33,2.05,3.26,0.84,11.7,7
0.34,2,3.26,0.84,11.7,7
0.4,3.6,3.23,0.7,12,7
0.36,2.8,3.18,0.68,10.9,5
0.45,1.7,3.25,0.55,12.3,7
0.31,2,3.17,0.55,10.4,6
0.15,2.1,3.23,0.48,10,5
0,1.6,3.38,0.58,10,6
0.16,2,3.22,0.58,11.2,6
0.46,2.2,3.06,0.84,11.4,6
0.4,2.2,3.27,0.75,12.6,7
0.37,0.9,2.89,0.44,12.7,6
0.37,0.9,2.89,0.44,12.7,6
0.14,1.8,3.53,0.61,10.4,5
0.66,2.4,3.2,0.53,11.9,6
0.66,2.4,3.2,0.53,11.9,6
0.09,2.1,3.35,0.54,10.5,5
0.42,2.3,3.27,0.55,12.3,6
0.01,1.8,3.32,0.56,10.5,7
0,2.8,3.33,0.6,10.4,6
0.32,1.9,3.41,0.56,12.6,6
0,2.2,3.49,0.52,11.6,5
0.21,2.5,3.37,0.54,10.1,6
0.01,1.8,3.32,0.56,10.5,7
0,2.1,3.42,0.55,11.5,7
0.01,1.8,3.35,0.58,11,7
0,4.1,3.36,0.53,9.6,5
0.08,2.6,3.3,0.59,10.4,6
0.18,2.5,3.2,0.47,9.7,6
0.34,2.4,3.17,0.65,10.6,7
0.34,2.5,3.22,0.59,12.5,7
0.1,1.8,3.35,0.56,9.2,5
0.41,6.2,3.24,0.77,12.6,7
0.21,2.2,3.33,0.83,11.1,6
0,2.2,3.58,0.67,10.2,5
0.19,1.7,3.38,0.64,9.8,6
0.21,2.2,3.33,0.83,11.1,6
0.41,8.9,3.29,0.81,10.9,7
0.33,3.3,3.36,0.62,12.2,6
0,1.4,3.32,0.58,11.4,6
0,1.7,3.31,0.62,10.7,6
0.17,1.8,3.49,0.64,10.4,5
0.36,1.7,3.27,0.78,10.9,6
0.36,1.8,3.27,0.77,10.8,6
0.17,1.8,3.49,0.64,10.4,5
0.59,1.4,3.03,1.34,9.2,5
0.05,2.4,3.56,0.55,12.9,5
0.42,2.3,3.38,0.77,12.7,7
0.27,2,3.13,0.62,9.1,6
0.27,2,3.13,0.62,9.1,6
0.53,4,3.21,0.59,12.1,7
0.25,3.9,3.15,0.57,9.1,5
0.57,2.4,3.19,0.76,11.6,7
0.53,4,3.21,0.59,12.1,7
0.57,1.8,3.14,0.7,9.9,6
0.5,1.8,3.21,0.69,12.5,8
0.44,1.9,3.3,0.64,11.4,6
0.65,2.4,3.22,0.63,11.8,6
0.09,2,3.28,0.57,11.8,6
0.18,2.4,3.29,0.6,10.2,6
0.08,2.4,3.4,0.72,12.5,7
0.53,2.2,3.02,0.83,10.9,7
0.53,2.2,3.02,0.83,10.9,7
0.35,2.8,3.31,0.62,10.8,5
0.45,1.5,3.18,0.89,11.1,7
0.2,8.1,3.2,0.58,9.2,5
0.26,1.8,3.4,0.58,9.5,6
0.33,2.7,3.31,0.58,10.7,6
0.2,8.1,3.2,0.58,9.2,5
0.34,2,3.44,0.86,10.2,7
0.56,2,3.15,0.73,11.4,6
0.65,6.4,3.27,0.58,11,5
0.65,6.4,3.27,0.58,11,5
0.68,8.3,3.01,0.51,12.3,7
0.56,1.4,3.16,0.51,11.8,6
0.68,8.3,3.01,0.51,12.3,7
0.3,1.8,3.42,0.59,9.5,6
0.45,2.4,3.33,0.77,12,6
0.3,1.8,3.42,0.59,9.5,6
0.08,1.8,3.12,0.49,9.6,5
0.4,4.7,3.38,0.66,11.6,7
0.42,1.6,3.29,0.69,11.2,6
0.54,1.5,3.02,0.76,9.9,7
0.54,1.5,3.02,0.76,9.9,7
0.54,1.9,2.98,0.63,11.8,8
0.42,2,3.35,0.6,11.4,6
0.09,2,3.43,0.59,11.5,6
0.36,2.2,3.33,0.86,12,7
0.09,5.5,3.35,0.49,10.8,6
0.47,2.5,3.15,0.5,10.5,5
0.09,5.5,3.35,0.49,10.8,6
0.38,1.5,3.2,0.52,9.4,5
0.45,2.1,3.15,0.81,12.5,7
0.38,1.5,3.2,0.52,9.4,5
0.42,2.1,3.11,0.78,12.4,6
0.27,2.1,3.35,0.63,12,6
0.09,1.7,3.45,0.54,11.2,6
0.27,2.1,3.35,0.63,12,6
0.34,2.2,3.28,0.66,12.4,6
0.28,2.1,3.41,0.6,12.8,5
0.42,1.9,3.21,0.54,12.3,6
0.41,2,3.27,0.85,11.7,7
0.1,3.3,3.36,0.49,9.5,5
0.43,2.1,3.17,0.76,10.8,6
0,1.4,3.25,0.64,10,6
0.27,2,3.78,0.64,12.3,7
0.41,1.5,3.29,0.71,11,6
0.39,1.6,3.12,0.59,9.5,6
0.5,4.3,3.49,0.66,13.6,6
0.07,2.5,3.38,0.6,11.3,6
0.07,2.5,3.38,0.6,11.3,6
0.07,2.5,3.38,0.6,11.3,6
0.12,2.1,3.3,0.53,13.3,6
0,2.5,3.52,0.58,12.9,5
0.34,2.5,3.2,0.72,13.1,8
0,1.8,3.44,0.55,12.3,6
0,1.4,3.45,0.48,12.3,6
0.37,1.9,3.12,0.65,11.2,6
0,2.2,3.62,0.62,11.5,4
0.35,1.7,3.14,0.59,11.3,7
0.26,1.7,3.39,0.54,13.5,6
0,2.9,3.51,0.6,11.5,6
0.33,2.7,3.22,0.68,10,5
0.35,3.3,3.21,0.69,10.5,6
0,1.9,3.18,0.63,10.4,6
0.21,1.7,3.32,0.44,9.5,5
0.34,1.8,3.38,0.88,13.6,7
0.07,5.5,3.37,0.68,11.2,7
0.35,1.7,3.3,0.74,11.8,7
0.43,1.7,3.38,0.6,11.9,6
0.45,2,3.22,0.76,11.4,6
0.45,2,3.22,0.76,11.4,6
0.15,3.7,3.14,0.58,9.1,5
0.24,2,3.34,0.64,9.5,6
0.3,1.7,3.41,0.65,9.5,6
0.32,2.5,3.27,0.85,11,6
0.11,2.4,3.3,0.65,11.4,6
0.3,1.8,3.61,0.82,10,6
0.23,2.3,3.43,0.62,10.1,5
0.43,2.5,3.53,0.81,10.4,6
0.12,1.8,3.28,0.87,9.8,6
0.45,6.2,3.21,0.49,11.8,7
0.42,2,3.39,0.66,11.6,6
0.47,2,3.23,0.52,12,6
0.32,2.8,3.3,0.76,12.8,7
0.23,2.5,3.46,0.65,12.5,6
0.25,2.2,3.15,0.53,9.8,5
0.35,2.1,3.23,0.66,11.1,6
0,2.2,3.59,0.68,11.4,6
0.25,2.2,3.15,0.53,9.8,5
0.51,1.75,3.33,0.76,11.8,7
0.18,2.1,3.46,0.87,12.9,7
0.43,2.8,3.42,1.16,10.6,6
0.43,2.2,3.16,0.67,10.8,5
0.57,2.3,3.14,0.72,11.1,7
0.43,1.4,3.21,0.75,10.2,6
0.42,2.3,3.14,0.71,11.8,7
0.24,1.7,3.29,0.67,10,5
0.24,1.7,3.29,0.67,10,5
0.5,1.9,3.01,1.1,9.4,5
0.26,2,2.94,0.98,10.2,5
0.39,2.5,3.32,0.88,12.4,7
0.27,2.8,3.21,0.56,12,6
0.29,2.3,3.32,0.62,11.5,6
0.34,1.6,3.2,0.67,10.5,6
0,2.2,3.42,0.68,10.8,6
0.46,2.1,3.27,0.74,12.3,6
0.31,1.7,3.46,0.62,9.5,6
0.31,1.7,3.46,0.62,9.5,6
0,2.2,3.61,0.7,11.5,6
0.03,5.6,3.58,0.5,11.2,4
0,2.4,3.35,0.66,12.7,7
0,2.1,3.68,0.73,11.4,5
0.33,2.4,3.27,0.81,11,6
0.33,2.4,3.27,0.81,11,6
0.43,1.65,3.19,0.46,11.4,5
0.4,2.5,3.38,0.86,10.5,6
0.07,1.6,3.29,0.6,9.3,5
0.23,2.1,3.36,0.7,10.9,5
0.3,2,3.33,0.46,11.9,6
0.03,7.8,3.52,0.5,12.2,5
0.3,2,3.33,0.46,11.9,6
0.23,2.1,3.36,0.7,10.9,5
0.05,1.8,3.3,0.44,9.6,4
0.57,4.6,3.28,0.57,12.5,6
0,2.3,3.56,0.51,10.8,5
0.37,2.5,3.52,0.8,12.4,7
0,2.3,3.56,0.51,10.8,5
0.12,1.8,3.22,0.59,9.5,6
0.22,1.8,3.52,0.6,9.5,6
0.23,2.3,3.21,0.58,9.5,6
0.21,1.5,3.16,0.54,9.8,6
0.26,2,3.15,0.79,10.9,6
0.23,2.3,3.21,0.58,9.5,6
0.21,1.5,3.16,0.54,9.8,6
0.36,1.9,3.27,0.54,11.2,7
0.39,1.8,3.35,0.69,11.7,8
0.19,5.8,3.14,0.55,9.4,5
0.46,2.1,3.4,0.85,11,7
0.46,2.1,3.4,0.85,11,7
0.46,2.1,3.4,0.85,11,7
0.55,1.7,3.35,0.94,10,5
0.46,2.1,3.4,0.85,11,7
0.43,2,3.45,0.87,11.2,7
0.02,2.1,3.35,0.62,10.4,6
0.15,2.1,3.32,0.62,9.3,5
0.02,2.1,3.35,0.62,10.4,6
0.42,1.9,3.15,0.75,10.5,6
0.46,1.9,3.1,0.48,10.4,6
0.46,2.1,3.26,0.56,11.3,6
0.31,2,3.29,0.69,9.5,6
0.37,1.9,3.23,0.81,12,6
0.31,1.9,3.24,0.69,10.6,6
0.4,1.3,3.2,0.83,10.9,6
0.52,1.8,3.28,0.77,11.5,6
0.52,1.8,3.28,0.77,11.5,6
0.22,2.2,3.26,0.46,9.6,6
0.47,2.2,3.23,0.76,12,6
0.49,2.5,3.07,0.82,10.3,6
0.23,2.6,3.15,0.51,9.4,5
0.03,4.1,3.02,0.47,9.2,5
0.25,2,3.27,0.72,9.6,5
0,1.8,3.68,0.73,13.6,7
0.29,2.1,3.4,0.64,9.5,5
0.34,2.7,3.37,0.78,11.8,6
0.01,2.6,3.38,0.62,10.8,5
0.29,2.1,3.4,0.64,9.5,5
0.37,2.2,3.23,0.49,9.3,4
0.01,2.2,3.39,0.4,12.8,6
0.32,12.9,3.3,0.56,11.5,4
0,1.7,3.26,0.64,9.4,6
0.01,2.2,3.39,0.4,12.8,6
0,2.5,3.38,0.46,9.6,4
0,4.3,3.45,0.56,11.8,4
0.2,1.7,3.1,0.4,9.3,5
0.39,2.5,3.16,0.59,9.8,5
0.41,2,3.22,0.6,12.2,6
0.22,2.4,3.37,0.62,9.5,5
0.25,13.4,3.33,0.54,10.3,6
0.19,1.8,3.49,0.68,10.5,5
0.07,1.7,3.12,0.48,10,5
0.19,1.8,3.49,0.68,10.5,5
0.33,2.2,3.41,0.75,11.1,6
0.01,2.3,3.4,0.61,10.9,6
0.01,2.3,3.4,0.61,10.9,6
0.14,2.2,3.28,0.59,9.8,5
0,1.8,3.45,0.58,9.8,5
0,1.4,3.43,0.58,9.5,5
0.06,1.9,3.4,0.69,10.9,5
0.02,2.4,3.47,0.45,11,5
0.22,1.8,3.1,0.42,9.2,5
0.28,4.8,3.32,0.7,11,6
0,2.7,3.44,0.63,11.3,6
0,2.7,3.44,0.63,11.3,6
0.68,1.8,3.02,1.15,9.3,5
0,2,3.59,0.55,11.2,4
0.38,2.5,3.15,0.58,9.8,5
0,2.2,3.37,0.46,9.6,4
0.32,1.8,3.38,0.72,11.8,6
0.05,2.3,3.38,0.6,10.3,6
0.05,2.3,3.38,0.6,10.3,6
0.5,2.3,3.1,0.87,11.4,6
0.31,2,3.47,0.55,9.5,6
0.03,1.8,3.5,0.82,14,8
0.01,1.6,3.7,0.75,14,6
0.2,1.6,3.38,0.57,11.7,6
0,1.9,3.5,0.53,11.2,5
0.2,2,3.1,0.43,9.3,5
0.13,2.1,3.24,0.53,11.2,6
0.22,2.3,3.24,0.54,9.5,6
0.4,6.3,3.28,0.56,12,4
0,1.9,3.35,0.6,9.7,6
0.22,2.3,3.24,0.54,9.5,6
0.39,1.7,3.14,0.57,11.5,7
0.2,1.9,3.37,0.64,10.4,6
0.2,1.9,3.37,0.64,10.4,6
0,2,3.33,0.68,10.9,6
0.28,2.7,3.26,0.63,10.2,6
0.19,2.3,3.39,0.56,10.9,5
0.5,1.8,3.15,0.57,10.5,5
0.44,2.5,3.35,0.54,12.4,6
0.08,2.6,3.22,0.37,13,5
0.3,4.5,3.3,1.17,10.2,5
0.3,4.5,3.3,1.17,10.2,5
0,1.9,3.36,0.59,11,5
0.1,2.1,3.29,0.75,10.9,6
0.13,2.4,3.62,0.67,12.4,6
0,1.9,3.34,0.49,9.7,4
0.1,2.1,3.29,0.75,10.9,6
0,4.3,3.2,0.45,9.5,5
0,4.3,3.2,0.45,9.5,5
0.14,2.1,3.35,0.61,12.1,6
0,1.4,3.45,0.56,12.2,6
0,2.1,3.5,0.4,10.9,3
0,2.15,3.78,0.61,12.5,6
0.07,2,3.6,0.74,11.7,6
0.32,2.1,3.3,0.8,11.2,6
0.44,1.8,3.36,0.66,11.2,5
0.21,2.3,3.12,0.44,9.2,5
0.26,1.9,3.3,0.53,9.8,5
0.32,2.5,3.29,0.62,10.1,5
0.09,3.9,3.41,0.52,11.1,4
